playlist_priority,playlist_id,playlist_title,playlist_processing_mode,playlist_position,video_id,video_title,canonical_video_url,is_duplicate,primary_playlist_id,primary_playlist_title,primary_transcript_path,metadata_status,caption_type,caption_language,caption_status,raw_segment_count,raw_word_count,cleaned_word_count,transcript_status,error_type,error_message,processed_at
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,4,d2xiKX3TAhQ,Digital Marketing for Beginners: 5 Strategies That Work | Adam Erhart,https://www.youtube.com/watch?v=d2xiKX3TAhQ,false,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,transcripts/adam-erhart/02-learn-digital-marketing-skills/04-digital-marketing-for-beginners-5-strategies-that-work-adam-erhart--d2xiKX3TAhQ.md,success,auto-generated,en,success,669,4609,4609,complete,,,2026-07-24
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,5,BZXLCn-8FjE,How to Create A Digital Marketing Strategy In Today’s Modern Landscape | Adam Erhart,https://www.youtube.com/watch?v=BZXLCn-8FjE,false,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,transcripts/adam-erhart/02-learn-digital-marketing-skills/05-how-to-create-a-digital-marketing-strategy-in-todays-modern-landscape-adam-erhart--BZXLCn-8FjE.md,success,unavailable,unknown,unavailable,0,0,0,unavailable,TranscriptsDisabled,"Could not retrieve a transcript for the video https://www.youtube.com/watch?v=BZXLCn-8FjE! This is most likely caused by: Subtitles are disabled for this video If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make su",2026-07-24
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,6,PV0WQHWKfA0,Digital Marketing For Beginners | Adam Erhart,https://www.youtube.com/watch?v=PV0WQHWKfA0,false,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,transcripts/adam-erhart/02-learn-digital-marketing-skills/06-digital-marketing-for-beginners-adam-erhart--PV0WQHWKfA0.md,success,manual,en,success,490,3602,3602,complete,,,2026-07-24
2,PLxb4RhBMfU_H1yhuXU79byfYtuYJMCgF9,Learn Digital Marketing Skills,Selected supplied videos,7,R1BOgBTzE1M,Digital Marketing Strategies For Small Business (... My TOP 20 Tips & Tricks),https://www.youtube.com/watch?v=R1BOgBTzE1M,true,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/05-digital-marketing-strategies-for-small-business-my-top-20-tips-and-tricks--R1BOgBTzE1M.md,success,manual,en,success,786,6360,6360,complete,,,2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,1,h95cQkEWBx0,Digital Marketing 101 (A Beginner’s Guide To Marketing),https://www.youtube.com/watch?v=h95cQkEWBx0,true,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/01-digital-marketing-101-a-beginners-guide-to-marketing--h95cQkEWBx0.md,success,manual,en,success,486,3518,3518,complete,,,2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,2,8Sj2tbh-ozE,Introduction To Marketing | Marketing 101,https://www.youtube.com/watch?v=8Sj2tbh-ozE,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/02-introduction-to-marketing-marketing-101--8Sj2tbh-ozE.md,success,manual,en,success,101,1337,1337,complete,,,2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,3,2g2fSvvcN2Q,How To Advertise For A Small Business,https://www.youtube.com/watch?v=2g2fSvvcN2Q,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/03-how-to-advertise-for-a-small-business--2g2fSvvcN2Q.md,success,unavailable,unknown,unavailable,0,0,0,unavailable,TranscriptsDisabled,"Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2g2fSvvcN2Q! This is most likely caused by: Subtitles are disabled for this video If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make su",2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,4,pbNlQs2eBDY,How To Create A Marketing Plan | Adam Erhart,https://www.youtube.com/watch?v=pbNlQs2eBDY,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/04-how-to-create-a-marketing-plan-adam-erhart--pbNlQs2eBDY.md,success,auto-generated,en,success,471,3325,3322,complete,,,2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,5,b8oP6oeJ5WM,Marketing 101 Crash Course | Marketing 101,https://www.youtube.com/watch?v=b8oP6oeJ5WM,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/05-marketing-101-crash-course-marketing-101--b8oP6oeJ5WM.md,success,auto-generated,en,success,456,3023,3023,complete,,,2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,6,n8M00vmp6v0,4 Principles Of Marketing Strategy | Adam Erhart,https://www.youtube.com/watch?v=n8M00vmp6v0,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/06-4-principles-of-marketing-strategy-adam-erhart--n8M00vmp6v0.md,success,auto-generated,en,success,595,4053,4053,complete,,,2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,7,7cCjX5MY28A,5 Marketing Tips You Need To Know To GROW YOUR BUSINESS,https://www.youtube.com/watch?v=7cCjX5MY28A,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/07-5-marketing-tips-you-need-to-know-to-grow-your-business--7cCjX5MY28A.md,success,unavailable,unknown,unavailable,0,0,0,unavailable,TranscriptsDisabled,"Could not retrieve a transcript for the video https://www.youtube.com/watch?v=7cCjX5MY28A! This is most likely caused by: Subtitles are disabled for this video If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make su",2026-07-24
3,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,Selected supplied videos,8,_R-f_AlRLT8,I Quit MICRO-MARKETING Here's why (Basics and Analytics),https://www.youtube.com/watch?v=_R-f_AlRLT8,false,PLxb4RhBMfU_FDfzNl1x0d-rrOA5cNEN2P,Introduction To Marketing,transcripts/adam-erhart/03-introduction-to-marketing/08-i-quit-micro-marketing-here-s-why-basics-and-analytics--_R-f_AlRLT8.md,success,auto-generated,en,success,381,2684,2684,complete,,,2026-07-24
4,PLxb4RhBMfU_F-fhAGL00-CpG9BcEW1thc,Video Marketing Strategy,Selected supplied videos,1,ykCSh0PKqpo,How To Make Better Marketing and Advertising Videos,https://www.youtube.com/watch?v=ykCSh0PKqpo,false,PLxb4RhBMfU_F-fhAGL00-CpG9BcEW1thc,Video Marketing Strategy,transcripts/adam-erhart/04-video-marketing-strategy/01-how-to-make-better-marketing-and-advertising-videos--ykCSh0PKqpo.md,success,manual,en,success,219,1548,1548,complete,,,2026-07-24
4,PLxb4RhBMfU_F-fhAGL00-CpG9BcEW1thc,Video Marketing Strategy,Selected supplied videos,2,Awf_SgjrTQI,Watch This Before Starting YouTube,https://www.youtube.com/watch?v=Awf_SgjrTQI,false,PLxb4RhBMfU_F-fhAGL00-CpG9BcEW1thc,Video Marketing Strategy,transcripts/adam-erhart/04-video-marketing-strategy/02-watch-this-before-starting-youtube--Awf_SgjrTQI.md,success,manual,en,success,225,3136,3131,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,1,rG88y8Lgv0w,How To Create Content Fast - 7 Content Marketing Strategy Tips,https://www.youtube.com/watch?v=rG88y8Lgv0w,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/01-how-to-create-content-fast-7-content-marketing-strategy-tips--rG88y8Lgv0w.md,success,auto-generated,en,success,195,1309,1309,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,2,OyM2T2t4OoE,Content Marketing Strategy (Top 7 Tips and Tricks),https://www.youtube.com/watch?v=OyM2T2t4OoE,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/02-content-marketing-strategy-top-7-tips-and-tricks--OyM2T2t4OoE.md,success,auto-generated,en,success,236,1535,1535,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,3,0uaJDIc-n0M,Content and SEO (How To Get Your Content To Rank),https://www.youtube.com/watch?v=0uaJDIc-n0M,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/03-content-and-seo-how-to-get-your-content-to-rank--0uaJDIc-n0M.md,success,auto-generated,en,success,133,844,844,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,4,_mZBOToAEIk,Video Content Marketing (3 Video Content Marketing Strategies),https://www.youtube.com/watch?v=_mZBOToAEIk,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/04-video-content-marketing-3-video-content-marketing-strategies--_mZBOToAEIk.md,success,manual,en,success,81,1023,1023,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,5,JcIqG143dyY,Content Marketing Strategy (Flexibility and Consistency),https://www.youtube.com/watch?v=JcIqG143dyY,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/05-content-marketing-strategy-flexibility-and-consistency--JcIqG143dyY.md,success,auto-generated,en,success,138,988,988,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,6,_rVKxx-mUDQ,"How To Write Great Content | Content Marketing For Your Blog, Website, Or Ads (2026)",https://www.youtube.com/watch?v=_rVKxx-mUDQ,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/06-how-to-write-great-content-content-marketing-for-your-blog-website-or-ads-2026--_rVKxx-mUDQ.md,success,manual,en,success,267,3689,3689,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,7,OD22G8JRjQM,This Is The Marketing STRATEGY That Will CHANGE Your BUSINESS | Adam Erhart,https://www.youtube.com/watch?v=OD22G8JRjQM,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/07-this-is-the-marketing-strategy-that-will-change-your-business-adam-erhart--OD22G8JRjQM.md,success,auto-generated,en,success,421,2953,2953,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,8,JRENE4FcpiI,How To Create Content Marketing That Grows Your Business,https://www.youtube.com/watch?v=JRENE4FcpiI,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/08-how-to-create-content-marketing-that-grows-your-business--JRENE4FcpiI.md,success,auto-generated,en,success,544,3256,3256,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,9,l84ETfVheOM,Creating a Content Marketing Strategy (Quality VS Quantity),https://www.youtube.com/watch?v=l84ETfVheOM,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/09-creating-a-content-marketing-strategy-quality-vs-quantity--l84ETfVheOM.md,success,auto-generated,en,success,524,3039,3037,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,10,dJvq8UeE8sg,The Ultimate Content Marketing Strategy for 2026,https://www.youtube.com/watch?v=dJvq8UeE8sg,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/10-the-ultimate-content-marketing-strategy-for-2026--dJvq8UeE8sg.md,success,auto-generated,en,success,386,2306,2306,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,11,7XjFMt6ER5w,The Real Reason Why Your Content Isn’t Working,https://www.youtube.com/watch?v=7XjFMt6ER5w,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/11-the-real-reason-why-your-content-isnt-working--7XjFMt6ER5w.md,success,auto-generated,en,success,395,2350,2350,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,12,MYijSfg0eNM,THIS Will Change Your Business! (Content MARKETING Strategies),https://www.youtube.com/watch?v=MYijSfg0eNM,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/12-this-will-change-your-business-content-marketing-strategies--MYijSfg0eNM.md,success,auto-generated,en,success,434,2661,2659,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,13,SKyKvGxpBYg,Content Marketing 101 | Your Guide To Creating Successful Campaigns,https://www.youtube.com/watch?v=SKyKvGxpBYg,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/13-content-marketing-101-your-guide-to-creating-successful-campaigns--SKyKvGxpBYg.md,success,auto-generated,en,success,490,2894,2894,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,14,3LZLNgQCXfs,One Marketing Strategy That Works On Every Social Media Platform,https://www.youtube.com/watch?v=3LZLNgQCXfs,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/14-one-marketing-strategy-that-works-on-every-social-media-platform--3LZLNgQCXfs.md,success,auto-generated,en,success,479,2883,2883,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,15,0d4-gmDv6Xc,7 Steps to Creating a Content Marketing Plan,https://www.youtube.com/watch?v=0d4-gmDv6Xc,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/15-7-steps-to-creating-a-content-marketing-plan--0d4-gmDv6Xc.md,success,auto-generated,en,success,368,2143,2143,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,16,Olx26i7j6U4,The Ultimate Content Marketing Strategy for 2026,https://www.youtube.com/watch?v=Olx26i7j6U4,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/16-the-ultimate-content-marketing-strategy-for-2026--Olx26i7j6U4.md,success,auto-generated,en,success,494,3499,3499,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,17,0zFpuU5Tupo,Content Marketing Strategy for 2026 | Your Ultimate Planning Guide,https://www.youtube.com/watch?v=0zFpuU5Tupo,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/17-content-marketing-strategy-for-2026-your-ultimate-planning-guide--0zFpuU5Tupo.md,success,auto-generated,en,success,342,2422,2422,complete,,,2026-07-24
5,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,Selected supplied videos,18,cr3zHh3eNGM,5 ways to INSTANTLY make BETTER CONTENT Marketing!,https://www.youtube.com/watch?v=cr3zHh3eNGM,false,PLxb4RhBMfU_HQTzrP-9v22MyqZu-Z3kUj,Content Marketing Strategy,transcripts/adam-erhart/05-content-marketing-strategy/18-5-ways-to-instantly-make-better-content-marketing--cr3zHh3eNGM.md,success,auto-generated,en,success,286,1987,1985,complete,,,2026-07-24
6,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,Selected supplied videos,1,ZYw52nVZl_0,Understanding Marketing Basics For Businesses | Marketing 101,https://www.youtube.com/watch?v=ZYw52nVZl_0,false,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,transcripts/adam-erhart/06-marketing-strategy-101/01-understanding-marketing-basics-for-businesses-marketing-101--ZYw52nVZl_0.md,success,auto-generated,en,success,459,3099,3099,complete,,,2026-07-24
6,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,Selected supplied videos,2,R1BOgBTzE1M,Digital Marketing Strategies For Small Business (... My TOP 20 Tips & Tricks),https://www.youtube.com/watch?v=R1BOgBTzE1M,true,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/05-digital-marketing-strategies-for-small-business-my-top-20-tips-and-tricks--R1BOgBTzE1M.md,success,manual,en,success,786,6360,6360,complete,,,2026-07-24
6,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,Selected supplied videos,3,Z_KspIX1oXU,What Is Digital Marketing? And How Does It Work?,https://www.youtube.com/watch?v=Z_KspIX1oXU,true,PLxb4RhBMfU_G0v-DhqFq1zfdwBX7zzbW8,Digital Marketing Strategies,transcripts/adam-erhart/01-digital-marketing-strategies/07-what-is-digital-marketing-and-how-does-it-work--Z_KspIX1oXU.md,success,auto-generated,en,success,89,530,530,complete,,,2026-07-24
6,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,Selected supplied videos,4,kJ6V76Zd05Q,"How To Write Great Content – Content Marketing For Your Blog, Website, Or Ads",https://www.youtube.com/watch?v=kJ6V76Zd05Q,false,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,transcripts/adam-erhart/06-marketing-strategy-101/04-how-to-write-great-content-content-marketing-for-your-blog-website-or-ads--kJ6V76Zd05Q.md,success,auto-generated,en,success,181,1220,1220,complete,,,2026-07-24
6,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,Selected supplied videos,5,PKrc12Fr1qs,Should I Start a Blog or a Vlog? (Should You Start A YouTube Channel or Blog?),https://www.youtube.com/watch?v=PKrc12Fr1qs,false,PLxb4RhBMfU_GoiBMtU9WPwVPnIGYCpCZz,Marketing Strategy 101,transcripts/adam-erhart/06-marketing-strategy-101/05-should-i-start-a-blog-or-a-vlog-should-you-start-a-youtube-channel-or-blog--PKrc12Fr1qs.md,success,auto-generated,en,success,231,1657,1657,complete,,,2026-07-24
7,PLxb4RhBMfU_Hhurhw3HLXxoQXa_LhXAHv,Modern Marketing Minute,Entire playlist,1,lkYHmbKCnk4,Introduction to Modern Marketing Minute,https://www.youtube.com/watch?v=lkYHmbKCnk4,false,PLxb4RhBMfU_Hhurhw3HLXxoQXa_LhXAHv,Modern Marketing Minute,transcripts/adam-erhart/07-modern-marketing-minute/01-introduction-to-modern-marketing-minute--lkYHmbKCnk4.md,success,manual,en,success,22,288,288,complete,,,2026-07-24
